,Day_No,Alpha=0.01,Aplha=0.02,Alpha=0.05,Alpha=0.1,Alpha=0.15,Alpha=0.25,Aplha=0.5,Alpha=0.75,Alpha=1,DAY_NO
0,,0.00013778322106539827,0.00013778322106539827,0.00013778322106539827,0.00013778322106539827,0.00013778322106539827,0.00013778322106539827,0.00013778322106539827,0.00013778322106539827,0.00013778322106539827,1
1,,0.0026178812002448297,0.0026178812002448297,0.0026178812002448297,0.0026178812002448297,0.0026178812002448297,0.0026178812002448297,0.0026178812002448297,0.0026178812002448297,0.0026178812002448297,2
2,,-0.01997856705450102,-0.01997856705450102,-0.01997856705450102,-0.01997856705450102,-0.01997856705450102,-0.01997856705450102,-0.01997856705450102,-0.01997856705450102,-0.01997856705450102,3
3,,-0.044320269442743476,-0.044320269442743476,-0.044320269442743476,-0.044320269442743476,-0.044320269442743476,-0.044320269442743476,-0.044320269442743476,-0.044320269442743476,-0.044320269442743476,4
4,,-0.046830985915493,-0.046830985915493,-0.046830985915493,-0.046830985915493,-0.046830985915493,-0.046830985915493,-0.046830985915493,-0.046830985915493,-0.046830985915493,5
5,,-0.02270361298224133,-0.02270361298224133,-0.02270361298224133,-0.02270361298224133,-0.02270361298224133,-0.02270361298224133,-0.02270361298224133,-0.02270361298224133,-0.02270361298224133,6
6,,-0.017146356399265223,-0.017146356399265223,-0.017146356399265223,-0.017146356399265223,-0.017146356399265223,-0.017146356399265223,-0.017146356399265223,-0.017146356399265223,-0.017146356399265223,7
7,,0.005802204531536993,0.005802204531536993,0.005802204531536993,0.005802204531536993,0.005802204531536993,0.005802204531536993,0.005802204531536993,0.005802204531536993,0.005802204531536993,8
8,,0.02829148805878736,0.02829148805878736,0.02829148805878736,0.02829148805878736,0.02829148805878736,0.02829148805878736,0.02829148805878736,0.02829148805878736,0.02829148805878736,9
9,,0.028230251071647186,0.028230251071647186,0.028230251071647186,0.028230251071647186,0.028230251071647186,0.028230251071647186,0.028230251071647186,0.028230251071647186,0.028230251071647186,10
10,,0.025719534598897666,0.025719534598897666,0.025719534598897666,0.025719534598897666,0.025719534598897666,0.025719534598897666,0.025719534598897666,0.025719534598897666,0.023334356425452108,11
11,,0.021126760563380212,0.021126760563380212,0.021126760563380212,0.021126760563380212,0.021126760563380212,0.021126760563380212,0.021126760563380212,0.021126760563380212,0.011510308978037594,12
12,,0.027617881200244894,0.027617881200244894,0.027617881200244894,0.027617881200244894,0.027617881200244894,0.027617881200244894,0.027617881200244894,0.027617881200244894,0.035712656096964196,13
13,,0.035563380281689996,0.035563380281689996,0.035563380281689996,0.035563380281689996,0.035563380281689996,0.035563380281689996,0.035563380281689996,0.022851904583904032,0.030909136821451962,14
14,,0.04588181261481922,0.04588181261481922,0.04588181261481922,0.04588181261481922,0.04588181261481922,0.04588181261481922,0.04588181261481922,0.024593319116797886,0.03266426886442766,15
15,,0.041656460502143174,0.041656460502143174,0.041656460502143174,0.041656460502143174,0.041656460502143174,0.041656460502143174,0.041656460502143174,0.010112082474839273,0.018068960296525265,16
16,,0.06096142069810155,0.06096142069810155,0.06096142069810155,0.06096142069810155,0.06096142069810155,0.06096142069810155,0.06096142069810155,0.025234892892074465,0.033310896459208074,17
17,,0.06448254745866504,0.06448254745866504,0.06448254745866504,0.06448254745866504,0.06448254745866504,0.06448254745866504,0.06448254745866504,0.017719314381691005,0.025736116063208223,18
18,,0.07157072872014696,0.07157072872014696,0.07157072872014696,0.07157072872014696,0.07157072872014696,0.07157072872014696,0.07157072872014696,0.024043398737989313,0.032110016640330086,19
19,,0.041028781383955826,0.041028781383955826,0.041028781383955826,0.041028781383955826,0.041028781383955826,0.041028781383955826,0.09113578990862893,0.04274069161747996,0.05095459225964688,20
20,,0.028475199020208054,0.028475199020208054,0.028475199020208054,0.028475199020208054,0.028475199020208054,0.028475199020208054,0.09103988274594038,0.04264903822101195,0.050862216888964036,21
21,,0.04277403551745244,0.04277403551745244,0.04277403551745244,0.04277403551745244,0.04277403551745244,0.04277403551745244,0.10772772905376325,0.05859672920645987,0.06693553138779308,22
22,,0.1012400489895897,0.1012400489895897,0.1012400489895897,0.1012400489895897,0.1012400489895897,0.1012400489895897,0.14206249329629547,0.09140864514203671,0.1000059140922805,23
23,,0.11928965094917324,0.11928965094917324,0.11928965094917324,0.11928965094917324,0.11928965094917324,0.11928965094917324,0.10561777147461324,0.05658035448416186,0.06490327323276873,24
24,,0.1218922229026332,0.1218922229026332,0.1218922229026332,0.1218922229026332,0.1218922229026332,0.1218922229026332,0.09861654859834267,0.04988965654199113,0.058159871172915115,25
25,,0.12816901408450693,0.12816901408450693,0.12816901408450693,0.12816901408450693,0.12816901408450693,0.12816901408450693,0.14388472938737956,0.09315005967493042,0.10176104613525609,26
26,,0.14030924678505816,0.14030924678505816,0.14030924678505816,0.14030924678505816,0.14030924678505816,0.14030924678505816,0.15596903188614794,0.10469838762991003,0.1134003428413048,27
27,,0.12888854868340469,0.12888854868340469,0.12888854868340469,0.12888854868340469,0.12888854868340469,0.12888854868340469,0.14609059412921827,0.09525808779369657,0.10388567966096345,28
28,,0.14473361910593993,0.14473361910593993,0.14473361910593993,0.14473361910593993,0.14473361910593993,0.14473361910593993,0.16220299746090944,0.11065585840033605,0.11940474193569504,29
29,,0.14638701775872628,0.14638701775872628,0.14638701775872628,0.14638701775872628,0.14638701775872628,0.14638701775872628,0.17553409307462992,0.12339568050940068,0.1322449184606216,30
30,,0.15632271892222888,0.15632271892222888,0.15632271892222888,0.15632271892222888,0.15632271892222888,0.15632271892222888,0.17006738480137765,0.11817143691071952,0.1269795223316949,31
31,,0.16452847519902006,0.16452847519902006,0.16452847519902006,0.16452847519902006,0.16452847519902006,0.16452847519902006,0.15970941123100482,0.10827287009216563,0.11700298229793894,32
32,,0.16595223515003057,0.16595223515003057,0.16595223515003057,0.16595223515003057,0.16595223515003057,0.16595223515003057,0.16105211150864576,0.10955601764271893,0.11829623748749991,33
33,,0.15549601959583578,0.15549601959583578,0.15549601959583578,0.15549601959583578,0.15549601959583578,0.15549601959583578,0.15635266053690244,0.10506500121578234,0.11376984432403646,34
34,,0.1608389467238211,0.1608389467238211,0.1608389467238211,0.1608389467238211,0.1608389467238211,0.1608389467238211,0.11990793871522022,0.07023671055790749,0.07866720346452467,35
35,,0.17154011022657678,0.17154011022657678,0.17154011022657678,0.17154011022657678,0.17154011022657678,0.17154011022657678,0.11357806597777019,0.06418758639101348,0.07257042899945161,36
36,,0.158190447030006,0.158190447030006,0.158190447030006,0.158190447030006,0.158190447030006,0.158190447030006,0.10983768663291332,0.06061310392875789,0.0689677895428175,37
37,,0.13299142682180037,0.13299142682180037,0.13299142682180037,0.13299142682180037,0.13299142682180037,0.13299142682180037,0.07742106564415388,0.02963425592254292,0.03774491425198862,38
38,,0.14883649724433543,0.14883649724433543,0.14883649724433543,0.14883649724433543,0.14883649724433543,0.15149809646945922,0.09502002999751881,0.046452654174437696,0.054695794772305455,39
39,,0.1420391916717697,0.1420391916717697,0.1420391916717697,0.1420391916717697,0.1420391916717697,0.14660668787048672,0.0903685326071199,0.04200746444573525,0.05021558929418356,40
40,,0.1635180649112063,0.1635180649112063,0.1635180649112063,0.1635180649112063,0.1635180649112063,0.18291405066698388,0.12489511117502948,0.07500268717424836,0.08347072274003693,41
41,,0.163410900183711,0.163410900183711,0.163410900183711,0.163410900183711,0.163410900183711,0.19794126471331178,0.13918527841563644,0.088659043247994,0.09723465297179283,42
42,,0.18952847519902014,0.18952847519902014,0.18952847519902014,0.18952847519902014,0.18952847519902014,0.20318566156169465,0.14417245087544556,0.09342501986433474,0.10203817224730494,43
43,,0.18906919779546846,0.18906919779546846,0.18906919779546846,0.18906919779546846,0.18906919779546846,0.18755332480209178,0.1293068406587068,0.07921874341178053,0.08771998979145146,44
44,,0.17824556031843225,0.17824556031843225,0.17824556031843225,0.17824556031843225,0.17824556031843225,0.19894980256876998,0.1401443500425228,0.08957557721267487,0.09815840667862204,45
45,,0.17767911818738508,0.17767911818738508,0.17767911818738508,0.17767911818738508,0.17767911818738508,0.1903772307973749,0.13199224121398867,0.08178503851288713,0.0903065001705734,46
46,,0.1818279240661359,0.1818279240661359,0.1818279240661359,0.1818279240661359,0.1818279240661359,0.18815844751536673,0.12988228363483864,0.07976866379058913,0.08827424201554905,47
47,,0.16786589099816285,0.16786589099816285,0.16786589099816285,0.16786589099816285,0.16786589099816285,0.1931002830071121,0.13458173460658182,0.08425968021752557,0.09280063517901237,48
48,,0.19992345376607457,0.19992345376607457,0.19992345376607457,0.19992345376607457,0.19992345376607457,0.18341831959471294,0.1253746469884727,0.07546095415658881,0.08393259959345153,49
49,,0.1908297611757501,0.1908297611757501,0.1908297611757501,0.1908297611757501,0.1908297611757501,0.17272781832685546,0.11520848774347711,0.06574569413097105,0.07414081030106139,50
50,,0.176056338028169,0.176056338028169,0.176056338028169,0.176056338028169,0.176056338028169,0.16183560948790635,0.10485051417310427,0.05584712731241716,0.06416427026730541,51
51,,0.19291181873851804,0.19291181873851804,0.19291181873851804,0.19291181873851804,0.19291181873851804,0.20046260935195737,0.14158295748285243,0.0909503781596963,0.09954403723886598,52
52,,0.1833894672382118,0.1833894672382118,0.1833894672382118,0.1833894672382118,0.1833894672382118,0.1928985754360205,0.13438992028120464,0.08407637342458942,0.09261588443764655,53
53,,0.1866809552969993,0.1866809552969993,0.1866809552969993,0.1866809552969993,0.1866809552969993,0.1923943065082914,0.1339103844677615,0.08361810644224899,0.09215400758423195,54
54,,0.167406613594611,0.167406613594611,0.167406613594611,0.167406613594611,0.167406613594611,0.16607146848083104,0.10887861500602711,0.059696569964077045,0.06804403583598832,55
55,,0.16356399265156144,0.16356399265156144,0.16356399265156144,0.16356399265156144,0.16356399265156144,0.17161842668585142,0.11415350895390214,0.06473750676982207,0.07312468122354922,56
56,,0.14883649724433548,0.14883649724433548,0.14883649724433548,0.14883649724433548,0.14883649724433548,0.14146314480764974,0.08547726730999958,0.03733314122586268,0.04550444538935445,57
57,,0.16739130434782598,0.16739130434782598,0.16739130434782598,0.16739130434782598,0.16739130434782598,0.13440337981944195,0.07876376592179493,0.030917403473096232,0.039038169441549614,58
